"","Estimate","Est.Error","Q2.5","Q97.5","Treebank"
"lowerAsymptote_Intercept49",0.469456886861626,0.00329909278632152,0.463137105730993,0.475911119310489,"UD_Turkish-Atis"
"growthRate_Intercept49",0.00221450704877286,3.78346307623908e-05,0.00214132961697798,0.00228847063011931,"UD_Turkish-Atis"
"delta_Intercept49",0.719486558155093,0.0124942621897168,0.695351279386387,0.744906599841667,"UD_Turkish-Atis"
"upperAsymptote_Intercept50",0.966096983948162,0.000214534092987653,0.965679006976427,0.966520688028546,"UD_French-GSD"
"lowerAsymptote_Intercept50",0.18808632169577,0.00181988043919717,0.184520100273043,0.19173661237705,"UD_French-GSD"
"growthRate_Intercept50",0.00321205634731171,3.93875940598708e-05,0.00313624533646277,0.00329126154096243,"UD_French-GSD"
"delta_Intercept50",0.294188798022404,0.0013288666096175,0.291553048439599,0.29676817042937,"UD_French-GSD"
"upperAsymptote_Intercept51",0.960848064696452,0.000357484820383008,0.960156807736009,0.961547135086279,"UD_Russian-SynTagRus"
"lowerAsymptote_Intercept51",0.347614885754297,0.00378273685179563,0.34044156874236,0.355147342346385,"UD_Russian-SynTagRus"
"growthRate_Intercept51",0.000788640984208824,1.41955850974219e-05,0.000760924133386287,0.000816314753406003,"UD_Russian-SynTagRus"
"delta_Intercept51",0.422596740491845,0.00361813252883974,0.415372681879108,0.429749471982471,"UD_Russian-SynTagRus"
"upperAsymptote_Intercept52",0.944245727588326,0.00917701135581214,0.925919187526448,0.950011714534087,"UD_Norwegian-Nynorsk"
"lowerAsymptote_Intercept52",0.0743233709844283,0.019491750962253,0.0278623988670854,0.130073911883795,"UD_Norwegian-Nynorsk"
"growthRate_Intercept52",1.24163790644955,2.60378341904243,0.00243792505653225,9.05556369334085,"UD_Norwegian-Nynorsk"
"delta_Intercept52",1.54419835865862,2.55088221754906,0.321504942934489,9.08857816372927,"UD_Norwegian-Nynorsk"
"upperAsymptote_Intercept53",0.919278445597993,0.000962305230211416,0.917424683042305,0.921260862623302,"UD_Welsh-CCG"
"lowerAsymptote_Intercept53",0.322830734567464,0.00259365663644988,0.317735091851386,0.327867248575751,"UD_Welsh-CCG"
"growthRate_Intercept53",0.00151713235027723,2.23502893031745e-05,0.00147439148049799,0.00156145339701964,"UD_Welsh-CCG"
"delta_Intercept53",0.427462619572902,0.00473448779481135,0.418125251021915,0.436714680159227,"UD_Welsh-CCG"
"upperAsymptote_Intercept54",0.907415162589164,0.002540573000654,0.902711799253635,0.912595626663406,"UD_Telugu-MTG"
"lowerAsymptote_Intercept54",0.551218404361043,0.0055229507492335,0.54054338903102,0.562090343976693,"UD_Telugu-MTG"
"growthRate_Intercept54",0.00236012659654131,9.82132450175539e-05,0.00217261192209197,0.00256392907565636,"UD_Telugu-MTG"
"delta_Intercept54",0.728628956635061,0.0380663660034873,0.655725783207346,0.806547711165479,"UD_Telugu-MTG"
"upperAsymptote_Intercept55",0.949798463299384,0.0105339528820281,0.935827373020927,0.961058755932931,"UD_Polish-PDB"
"lowerAsymptote_Intercept55",0.155268798029926,0.0779348646403271,0.0620390563187548,0.28775812578019,"UD_Polish-PDB"
"growthRate_Intercept55",1.87015052907288,2.55135968281702,0.00120012901238992,8.91525870482698,"UD_Polish-PDB"
"delta_Intercept55",1.57740715579196,2.56059917231386,0.129446151660166,9.10576214348504,"UD_Polish-PDB"
"upperAsymptote_Intercept56",0.821856080223414,0.00428671124235488,0.81419867008941,0.831175405349464,"UD_Low_Saxon-LSDC"
"lowerAsymptote_Intercept56",0.261629563737185,0.0069379595856614,0.248106278805687,0.275080047922196,"UD_Low_Saxon-LSDC"
"growthRate_Intercept56",0.00173802980896485,7.51611842346255e-05,0.00159033845325001,0.00188791093996013,"UD_Low_Saxon-LSDC"
"delta_Intercept56",0.49812850916671,0.0199257022986948,0.459189389906295,0.53779216934108,"UD_Low_Saxon-LSDC"
"upperAsymptote_Intercept57",0.957364943074102,0.000195584913878114,0.956982797629771,0.95775121455274,"UD_Hindi-HDTB"
"lowerAsymptote_Intercept57",0.222001058441957,0.0014129959546289,0.219210886937702,0.224808680933961,"UD_Hindi-HDTB"
"growthRate_Intercept57",0.00204737979839521,1.75124939126355e-05,0.00201268502848541,0.00208159100343715,"UD_Hindi-HDTB"
"delta_Intercept57",0.30468673746039,0.00106493940831408,0.302576004167029,0.306787040818186,"UD_Hindi-HDTB"
"upperAsymptote_Intercept58",0.933838055252823,0.000949412147893036,0.93198541747429,0.935766806000234,"UD_Italian-PoSTWITA"
"lowerAsymptote_Intercept58",0.0228613202982214,0.00849184826029896,0.00673701544480071,0.0401074604285598,"UD_Italian-PoSTWITA"
"growthRate_Intercept58",0.00175462588185786,6.37450063004775e-05,0.0016362936568092,0.00188281250416593,"UD_Italian-PoSTWITA"
"delta_Intercept58",0.363251287875936,0.00602936133485897,0.351546684780158,0.37508046107061,"UD_Italian-PoSTWITA"
"upperAsymptote_Intercept59",0.901855884469695,0.00306592582827699,0.896208619072772,0.908389785780306,"UD_Armenian-BSUT"
"lowerAsymptote_Intercept59",0.117724780820142,0.00803691795704361,0.102246494163834,0.13360075398328,"UD_Armenian-BSUT"
"growthRate_Intercept59",0.00208094937364404,7.8893580586692e-05,0.00193065885137221,0.0022428554450649,"UD_Armenian-BSUT"
"delta_Intercept59",0.432880840718837,0.0128158260435367,0.408027948627968,0.45792998334274,"UD_Armenian-BSUT"
"upperAsymptote_Intercept60",0.868302655290441,0.00137344027335619,0.865667178567496,0.87107032836323,"UD_North_Sami-Giella"
