"","Select_size.x","Select_size.predicted","Select_size.std.error","Select_size.conf.low","Select_size.conf.high","Select_size.group","upperAsymptote","lowerAsymptote","growthRate","delta","Growth_Rate","Treebank"
"1480",2610,0.795982118313896,0.000834711742177244,0.794318388937173,0.7976328167136,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,3.06735250908933e-05,"UD_Galician-TreeGal"
"1481",2620,0.796287383307674,0.000833503332040942,0.794626528483329,0.797936137196894,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,3.0544442186137e-05,"UD_Galician-TreeGal"
"1482",2630,0.796590896453512,0.000832782173387363,0.794930860707081,0.798239189807658,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,3.04162854255845e-05,"UD_Galician-TreeGal"
"1483",2640,0.796894161606907,0.000831150562239055,0.795233141999836,0.798541682448969,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,3.02890450323946e-05,"UD_Galician-TreeGal"
"1484",2650,0.797194993019653,0.000831007648254824,0.795532211077924,0.798843945890798,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,3.01627113675492e-05,"UD_Galician-TreeGal"
"1485",2660,0.797497446730538,0.000830647849946313,0.795832683130093,0.799145951762239,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,3.00372749274146e-05,"UD_Galician-TreeGal"
"1486",2670,0.797797772095809,0.000831001451310247,0.796134441291708,0.799445659230455,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.99127263413551e-05,"UD_Galician-TreeGal"
"1487",2680,0.79809485670462,0.000830609856434715,0.796434026048281,0.799744114253733,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.9789056369398e-05,"UD_Galician-TreeGal"
"1488",2690,0.798392264022803,0.00083001811387737,0.796732389649662,0.800041140722093,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.96662558999468e-05,"UD_Galician-TreeGal"
"1489",2700,0.798688531333498,0.000829170778298716,0.797031610078817,0.800337133519682,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.9544315947543e-05,"UD_Galician-TreeGal"
"1490",2710,0.798983451956361,0.000827284154768799,0.797329881240372,0.800633324445335,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.94232276506755e-05,"UD_Galician-TreeGal"
"1491",2720,0.799277105536228,0.000826729747324208,0.797624256701337,0.800925217567799,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.93029822696347e-05,"UD_Galician-TreeGal"
"1492",2730,0.799569377898841,0.000826046241408716,0.797917134420069,0.801218390112155,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.91835711844123e-05,"UD_Galician-TreeGal"
"1493",2740,0.799858633432981,0.000826057889480068,0.798207304653786,0.801508337476164,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.90649858926441e-05,"UD_Galician-TreeGal"
"1494",2750,0.800148899194124,0.000826365036619145,0.798498294608214,0.801800281863663,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.89472180075954e-05,"UD_Galician-TreeGal"
"1495",2760,0.800437857253387,0.000825040522109382,0.798786537518077,0.802091551799079,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.88302592561886e-05,"UD_Galician-TreeGal"
"1496",2770,0.800726150783041,0.000824285232970243,0.799074007489768,0.802375571732003,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.87141014770702e-05,"UD_Galician-TreeGal"
"1497",2780,0.801012258750443,0.00082411137546235,0.799358997741327,0.802661703454048,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.8598736618718e-05,"UD_Galician-TreeGal"
"1498",2790,0.801298120913156,0.000823394617897408,0.799646478542428,0.802947369500058,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.84841567375873e-05,"UD_Galician-TreeGal"
"1499",2800,0.801582851305578,0.000821222832483125,0.799934833289686,0.803231850261931,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.83703539962939e-05,"UD_Galician-TreeGal"
"1500",2810,0.801866493919658,0.000821172486259291,0.800218327227215,0.803514810030014,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.82573206618345e-05,"UD_Galician-TreeGal"
"1501",2820,0.802148068386489,0.000820668946297772,0.800504426633952,0.803797858997283,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.81450491038427e-05,"UD_Galician-TreeGal"
"1502",2830,0.8024292673155,0.00082049170863583,0.800788528321962,0.80408046990586,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.80335317928804e-05,"UD_Galician-TreeGal"
"1503",2840,0.802707876447939,0.000818930008673133,0.80106758192935,0.804360449902046,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.7922761298763e-05,"UD_Galician-TreeGal"
"1504",2850,0.802986592279249,0.000819542156138425,0.801348388265081,0.804636167365965,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.78127302889185e-05,"UD_Galician-TreeGal"
"1505",2860,0.803264781874996,0.000818154071578274,0.801628066911699,0.80490914463079,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.77034315267787e-05,"UD_Galician-TreeGal"
"1506",2870,0.803541210696467,0.000815024736110399,0.801903450005308,0.805182695342658,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.75948578702034e-05,"UD_Galician-TreeGal"
"1507",2880,0.80381585925363,0.000815789278650263,0.802182363421241,0.805457324757181,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.74870022699339e-05,"UD_Galician-TreeGal"
"1508",2890,0.804088621088965,0.000815228870173455,0.80245812266176,0.805732947050945,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.73798577680792e-05,"UD_Galician-TreeGal"
"1509",2900,0.804361640447369,0.000814317422004896,0.802736035006248,0.806007028130869,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.727341749663e-05,"UD_Galician-TreeGal"
"1510",2910,0.804633683274957,0.00081302796834486,0.803007585862349,0.80627914434865,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.71676746760027e-05,"UD_Galician-TreeGal"
"1511",2920,0.804904190298045,0.000812057337751041,0.803275953620126,0.806550374237181,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.70626226136119e-05,"UD_Galician-TreeGal"
"1512",2930,0.805175028902744,0.000812395196388392,0.803542735163747,0.806819234540032,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.69582547024703e-05,"UD_Galician-TreeGal"
"1513",2940,0.805443721387776,0.000810992367126823,0.803810228144824,0.807087682087879,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.68545644198157e-05,"UD_Galician-TreeGal"
"1514",2950,0.805710840312039,0.000810276546415141,0.80407874837568,0.807355296292377,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.67515453257646e-05,"UD_Galician-TreeGal"
"1515",2960,0.805977635106889,0.000810411948209712,0.804348095412387,0.807619887024816,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.66491910619918e-05,"UD_Galician-TreeGal"
"1516",2970,0.806243610283878,0.000809551032714808,0.804615233420069,0.807885698805595,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.65474953504352e-05,"UD_Galician-TreeGal"
"1517",2980,0.80650843894309,0.000810233673544026,0.80488074789436,0.808151234635612,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.64464519920254e-05,"UD_Galician-TreeGal"
"1518",2990,0.806772592116641,0.000811060631904602,0.805145748119811,0.808415863306564,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.63460548654396e-05,"UD_Galician-TreeGal"
"1519",3000,0.807035580083764,0.000810255563869746,0.805410641989194,0.808675095286695,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.62462979258786e-05,"UD_Galician-TreeGal"
"1520",3010,0.80729633772874,0.000809971470019089,0.805670593400232,0.808934455421518,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.61471752038682e-05,"UD_Galician-TreeGal"
"1521",3020,0.807556738663282,0.000809459761869206,0.805927478476993,0.809194411977528,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.60486808040815e-05,"UD_Galician-TreeGal"
"1522",3030,0.807817051537969,0.000808503687706984,0.806189191876288,0.80945365658557,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.59508089041848e-05,"UD_Galician-TreeGal"
"1523",3040,0.808076123586015,0.000807506121750754,0.806450279658672,0.809712430706449,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.58535537537045e-05,"UD_Galician-TreeGal"
"1524",3050,0.808335406751158,0.00080653713146035,0.806711263031518,0.809971846047351,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.57569096729152e-05,"UD_Galician-TreeGal"
"1525",3060,0.808592757520386,0.000806637903842784,0.806970388722023,0.810229678981748,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.56608710517483e-05,"UD_Galician-TreeGal"
"1526",3070,0.808849271722811,0.000805947565822499,0.807227568425015,0.810485221454145,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.55654323487216e-05,"UD_Galician-TreeGal"
"1527",3080,0.809103429203666,0.000806082467534001,0.807484819780971,0.810737850888306,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.54705880898878e-05,"UD_Galician-TreeGal"
"1528",3090,0.809357216251583,0.000805321297054557,0.807741132795573,0.810990987829577,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.53763328678027e-05,"UD_Galician-TreeGal"
"1529",3100,0.809611266899341,0.00080512503597221,0.807996493831031,0.811244970974007,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.52826613405131e-05,"UD_Galician-TreeGal"
"1530",3110,0.809863899159848,0.000803526858339756,0.808250878548837,0.81149791413166,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.51895682305617e-05,"UD_Galician-TreeGal"
"1531",3120,0.81011605453132,0.000802718074343783,0.808500426716325,0.811749909985015,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.50970483240121e-05,"UD_Galician-TreeGal"
"1532",3130,0.810366865080715,0.000802551139782038,0.808750985507898,0.812000963288582,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.50050964694895e-05,"UD_Galician-TreeGal"
"1533",3140,0.810615458545411,0.000801122330370247,0.809005599456263,0.812251024418173,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.49137075772407e-05,"UD_Galician-TreeGal"
"1534",3150,0.81086485891364,0.000800884055378644,0.80925754001219,0.812498621375976,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.48228766182098e-05,"UD_Galician-TreeGal"
"1535",3160,0.811111892341289,0.000800977011878383,0.809505493152262,0.812745074594296,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.47325986231312e-05,"UD_Galician-TreeGal"
"1536",3170,0.811358224000596,0.000800816511881412,0.809750301184167,0.81299110167833,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.46428686816386e-05,"UD_Galician-TreeGal"
"1537",3180,0.811603195405552,0.000800119351731771,0.809997375700783,0.813235526957303,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.45536819413906e-05,"UD_Galician-TreeGal"
"1538",3190,0.811848402152987,0.000799762454349518,0.810244124378441,0.813481088227306,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.44650336072108e-05,"UD_Galician-TreeGal"
"1539",3200,0.812092668369138,0.000799550000849167,0.810490083606619,0.813726888094007,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.43769189402441e-05,"UD_Galician-TreeGal"
"1540",3210,0.812335608634866,0.000799634648123168,0.810732565621351,0.81396817857561,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.42893332571281e-05,"UD_Galician-TreeGal"
"1541",3220,0.812577633057143,0.00079816855387291,0.810979814011108,0.814207247241046,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.42022719291785e-05,"UD_Galician-TreeGal"
"1542",3230,0.812820113323871,0.000796894210370977,0.811220393308005,0.814445168235902,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.41157303815891e-05,"UD_Galician-TreeGal"
"1543",3240,0.813061457669006,0.000797638231268958,0.811461653204363,0.81468503076858,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.40297040926465e-05,"UD_Galician-TreeGal"
"1544",3250,0.813302080684889,0.000796277094925291,0.811703515779124,0.814922836855215,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.39441885929575e-05,"UD_Galician-TreeGal"
"1545",3260,0.813541574169897,0.000796192338227065,0.811945175983743,0.815159505551528,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.3859179464691e-05,"UD_Galician-TreeGal"
"1546",3270,0.813779274747032,0.000795517429154936,0.812186755703015,0.815395816197505,"Select_size",0.94368357922635,0.437374016509893,0.000616211303106954,0.44002142540263,2.37746723408325e-05,"UD_Galician-TreeGal"
